PROGRESS_CABBAGE_QUEST_TT_1;§YThe remains will lead us to something greater...§!;;;;;;;;;;;;;x
PROGRESS_CABBAGE_QUEST_TT_2;§YThis Cabbage will lead me to salvation!§!;;;;;;;;;;;;;x
PROGRESS_CABBAGE_QUEST_TT_3;§YI've become a delicious vegetable!§!;;;;;;;;;;;;;x
PROGRESS_CABBAGE_QUEST_TT_4;§RCABBAGE!! CABBAGE!! CABBAGE!!§!;;;;;;;;;;;;;x
PROGRESS_CABBAGE_QUEST_TT_5;§YCabbagekind will rule the world!§!;;;;;;;;;;;;;x
tooltip_religion_feature_slavic_2;§GGet access to §Y+1 Demesne§G and §Y+10% Tax Modifier§G.§!;;;;;;;;;;;;;x
tooltip_religion_feature_baltic_2;§GGet access to §Y-1 Demesne§G in return for §YReligious Tax§G and §Y+15% Tax Modifier§G.§!;;;;;;;;;;;;;x
tooltip_religion_feature_finnish_2;§GWarrios of this faith will get §Y15% Offensive §Gand §Y25% Defensive capabilities globally.§!;;;;;;;;;;;;;x
became_anglo_norse_tt;You and your children will embrace Anglo-Norse culture \n§YGet access to special Danegeld tributary§!;;;;;;;;;;;;;x
stayed_norse_tt;Stay Norse \n§RYou will NEVER get another oppertunity to go Anglo-Norse!!!§!;;;;;;;;;;;;;x
EVTOPTB_LT_40009_TT;The greater dukes of the realm will be granted independence, and the §YKingdom of Germany§! will be shattered into:\n* §YKingdom of Saxony§!\n* §YKingdom of Thuringia§!\n* §YKingdom of Franconia§!\n* §YKingdom of Swabia§!\n* §YKingdom of Frisia§! \n\nThe §YHoly Roman Empire§! will be turned into a defunct title which can no longer be obtained. \n\n * §YDithmarschen§! will become independent and stronger.;;;;;;;;;;;;;x
has_non_learning_lifestyle;Must §Rnot§! have a §Ynon-Learning§! focused §Ylifestyle§! trait.;;;;;;;;;;;;;x
