TITLE_BAT1;Battle of [1066_foe_location.GetName];;;;;;;;;;;;;x
DESC_BAT1;During the battle of [1066_foe_location.GetName] we have come to a narrow bridge, allowing few men to cross. One brave soldier in my ranks has managed to hold the bridge for a long time and killed 40 Englishmen. I will call him to my presence.;;;;;;;;;;;;;x
A_BAT1;A fine warrior is amongst my ranks!;;;;;;;;;;;;;x
TITLE_BAT2;Battle of [1066_foe_location.GetName];;;;;;;;;;;;;x
DESC_BAT2;The King of England has offered me ransom in return for some of my prisoners.;;;;;;;;;;;;;x
A_BAT2;Arrange for the prisoner exchange;;;;;;;;;;;;;x
TITLE_FOE2;Fate of England;;;;;;;;;;;;;x
DESC_FOE2;With my victory over the Saxons, I, Harald 'Hårdråde', have become the King of England. Beating the Normans to the chase, I have managed to earn the respect of the Anglo-Saxon kings through pure valor. With the Godwins in the south now on the decline and the Hwicces of Mercia still left, I have to decide how I shall manage my realm.\n\nThough beaten, I technically still owe a Godwin my invasion on England, for it was Tostig who convinced me to set sail west towards the old lands of the Danelaw. Tostig was the Earl of Northumbria before he was banished by his brother Harold. Now it is up to me to decide how I will shape the future of England.;;;;;;;;;;;;;x
A_FOE2;He can have his old lands back.;;;;;;;;;;;;;x
B_FOE2;Let him have it!;;;;;;;;;;;;;x
C_FOE2;I can compromise with him.;;;;;;;;;;;;;x
D_FOE2;What did he do to deserve any of this?;;;;;;;;;;;;;x
B_BAT2;Let them rot.;;;;;;;;;;;;;x
TITLE_BAT3;The Prisoner Exchange;;;;;;;;;;;;;x
DESC_BAT3;Hårdråde has mistakenly shown up at a small prisoner exchange, not expecting an ambush from me. I will order my archers to aim to for his head. The poor soul didn't know what I had in store for him.;;;;;;;;;;;;;x
A_BAT3;On my mark… shoot!;;;;;;;;;;;;;x
TITLE_BAT4;The ambush at [1066_foe_location.GetName];;;;;;;;;;;;;x
DESC_BAT4;The Saxons tricked me into thinking we were gonna do a real prisoner exchange, those damn bastards!;;;;;;;;;;;;;x
A_BAT4;Those Saxons Bastards!;;;;;;;;;;;;;x
TITLE_BAT5;The ambush at [1066_foe_location.GetName];;;;;;;;;;;;;x
DESC_BAT5;The Saxons tricked me into thinking we were gonna do a real prisoner exchange, despite those odds, I have managed to survive and I will show them my wrath!;;;;;;;;;;;;;x
A_BAT5;I will show them!;;;;;;;;;;;;;x
TITLE_BAT6;The Berserker of [1066_foe_location.GetName];;;;;;;;;;;;;x
DESC_BAT6;News has reached me that the brave man from the battle at [stamford_bridge_location.GetName] has passed away from his injuries.;;;;;;;;;;;;;x
A_BAT6;May god rest his soul.;;;;;;;;;;;;;x
TITLE_FOE4;England at peace;;;;;;;;;;;;;x
DESC_FOE4;The King of England is once more at peace. With William's defeat, the Norman-French armies were sent back disgruntled and starving. Same with the vikings of Harald 'Hårdråde' and my brother Tostig. William will forever be know as the bastard and I am now know as the Victorious. The enemies of England now know that it is not wise to attack us, and we must take advantage of the riches that the we got from the Norwegian and Norman warchests.\n\nThe Anglo-Saxon kingdom will go on to see the future and beat many more enemies.;;;;;;;;;;;;;x
A_FOE4;England is impervious to invaders!;;;;;;;;;;;;;x
TITLE_NM2;The Normans;;;;;;;;;;;;;x
